original_filename,english_title,category_or_status,new_project_path_or_duplicate_of,sha256,source_archive_path,translation_note
#U0421#U0440#U0430#U0436#U0435#U043d#U0438#U0435.mp3,Battle,music,assets/audio/admin/music/battle.mp3,837d4cc8f66e363ba892d36eb594edf4e6165904c33175b87d79616206559982,combined 2/#U0421#U0440#U0430#U0436#U0435#U043d#U0438#U0435.mp3,
#U043f#U043e#U0434#U0430#U0440#U043e#U043a #U043e#U0442 #U0420#U043e#U043a#U0441#U0438.mp3,A Gift from Roxy,music,assets/audio/admin/music/a-gift-from-roxy.mp3,02db3bef4d191b877a4effde698123b8c558920661758d71b22eda36df45c825,combined 2/#U043f#U043e#U0434#U0430#U0440#U043e#U043a #U043e#U0442 #U0420#U043e#U043a#U0441#U0438.mp3,
1-05 Rafters.mp3,1-05 Rafters,ambience,assets/audio/admin/ambience/1-05-rafters.mp3,cfcef4ab22366ec5a99cfa1cc27538e651b09b1b2c90796c82ecce2ad87aa05a,combined 2/1-05 Rafters.mp3,
1-24 Depths of the Abyss.mp3,1-24 Depths of the Abyss,ambience,assets/audio/admin/ambience/1-24-depths-of-the-abyss.mp3,05d08610a4a72999e9c731ce03adfef32b359a5b376dafd71f7e3973f73b3d59,combined 2/1-24 Depths of the Abyss.mp3,
A Private Bath.mp3,A Private Bath,music,assets/audio/admin/music/a-private-bath.mp3,892a06f96825e3cb00c9d7b0601813f88cbcdd9c3124730b23ceb0d1ff65a31a,combined 2/A Private Bath.mp3,
Ali Sabah  Khanabat.mp3,Ali Sabah  Khanabat,music,assets/audio/admin/music/ali-sabah-khanabat.mp3,20cfe0c7f56620ea89238d7d6186ad3daf4fedd8c978c52f4d15f481e67da233,combined 2/Ali Sabah  Khanabat.mp3,
creature_1_default.mp3,creature_1_default,sfx,assets/audio/admin/sfx/creature-1-default.mp3,b54b697b05e03151530895e792706e0abba30a539b1b0f64d5ddbe30bfc429f6,combined 2/creature_1_default.mp3,
"Dwarves Erebor and Moria Theme Music (The Hobbit, Lord of The Rings).mp3","Dwarves Erebor and Moria Theme Music (The Hobbit, Lord of The Rings)",music,assets/audio/admin/music/dwarves-erebor-and-moria-theme-music-the-hobbit-lord-of-the-rings.mp3,16689114ed47470e220b5069d381f86a34b3db8787ca48f302d9fd27798188ff,"combined 2/Dwarves Erebor and Moria Theme Music (The Hobbit, Lord of The Rings).mp3",
freesound_community-funny-hello-104636.mp3,freesound_community-funny-hello-104636,voice,assets/audio/admin/voice/freesound-community-funny-hello-104636.mp3,b70b07c660da2b81ba5a3a4d24ba2b35f2ce8a194d525e9358c2c699b570ce16,combined 2/freesound_community-funny-hello-104636.mp3,
freesound_community-oh-my-god-104662.mp3,freesound_community-oh-my-god-104662,music,assets/audio/admin/music/freesound-community-oh-my-god-104662.mp3,57ad6f1198cd3712235692bb411a54474ec95e4a08633fb92a00991ab3521579,combined 2/freesound_community-oh-my-god-104662.mp3,
freesound_community-requested-female-voice-sample-talking-fighting-noises-54786.mp3,freesound_community-requested-female-voice-sample-talking-fighting-noises-54786,voice,assets/audio/admin/voice/freesound-community-requested-female-voice-sample-talking-fighting-noises-54786.mp3,d92d109a21399fff34bda5b5c0ba2a9f3fbd4e92c343bbf7f882fa500cb0d8af,combined 2/freesound_community-requested-female-voice-sample-talking-fighting-noises-54786.mp3,
Made in Abyss OST - Old Stories Main Theme.mp3,Made in Abyss OST - Old Stories Main Theme,music,assets/audio/admin/music/made-in-abyss-ost-old-stories-main-theme.mp3,2a0f6be696c5e17e2932a122584c176f4d2bc19e8169b10acbee6d0608f29661,combined 2/Made in Abyss OST - Old Stories Main Theme.mp3,
OST Original Soundtrack You cant buy a dere with money.mp3,OST Original Soundtrack You cant buy a dere with money,music,assets/audio/admin/music/ost-original-soundtrack-you-cant-buy-a-dere-with-money.mp3,7a3ccc7bda3fa1e36de87f2ab8fc6223b2c42bded6201f3e7cbf3d2d9fd0d053,combined 2/OST Original Soundtrack You cant buy a dere with money.mp3,
Talk - Tiny Bunny OST.mp3,Talk - Tiny Bunny OST,voice,assets/audio/admin/voice/talk-tiny-bunny-ost.mp3,44668e97019f91003ef80647367178db1f10e6189b7298419ef0e255232a63f8,combined 2/Talk - Tiny Bunny OST.mp3,
universfield-game-over-deep-male-voice-clip-352695.mp3,universfield-game-over-deep-male-voice-clip-352695,voice,assets/audio/admin/voice/universfield-game-over-deep-male-voice-clip-352695.mp3,ecc55585c679ec406e949557a1fb7cf9cc8f3dfc6711122c7a682cb058d5f870,combined 2/universfield-game-over-deep-male-voice-clip-352695.mp3,
whistlingwindstead54.mp3,whistlingwindstead54,sfx,assets/audio/admin/sfx/whistlingwindstead54.mp3,4a4b2319cc9e3d8687e51003a660be00c401e8b2ba9496628ee3be7e49b0fa6e,combined 2/whistlingwindstead54.mp3,
#U0412#U044b#U0441#U0442#U0440#U0435#U043b.mp3,Shot,sfx,assets/audio/admin/sfx/shot.mp3,644fe3093f1e5594df78528f6bce45de6a3d5ad3de75e9158c2396c0ae740c0f,combined 3/#U0412#U044b#U0441#U0442#U0440#U0435#U043b.mp3,
#U0421#U0438#U043b#U0430 #U0437#U0430#U043d#U043e#U0431#U044b.mp3,Sila Zanoby,music,assets/audio/admin/music/sila-zanoby.mp3,cab3bed1c41e52c039cfab6c0825f0c5fc6670db72088e024bfb8f90f462d961,combined 3/#U0421#U0438#U043b#U0430 #U0437#U0430#U043d#U043e#U0431#U044b.mp3,The source title appears misspelled or context-specific; preserved as a readable transliteration instead of guessing a meaning.
#U0442#U0430#U043d#U0435#U0446 #U0431#U0435#U0437 #U043c#U0430#U0433#U0438#U0438.mp3,Dance Without Magic,music,assets/audio/admin/music/dance-without-magic.mp3,201d79067d2c8ade8872aa9311580c25a3d1fd797ed969a2b9c1d57bed004add,combined 3/#U0442#U0430#U043d#U0435#U0446 #U0431#U0435#U0437 #U043c#U0430#U0433#U0438#U0438.mp3,
#U0443#U043b#U044b#U0431#U043a#U0430 #U042d#U0440#U0438#U0441.mp3,Eris's Smile,music,assets/audio/admin/music/eriss-smile.mp3,f04f8196619af46291f466223f0ea54b18235a8fcf3c975725fab37dab42c0ec,combined 3/#U0443#U043b#U044b#U0431#U043a#U0430 #U042d#U0440#U0438#U0441.mp3,
1-07 New World.mp3,1-07 New World,music,assets/audio/admin/music/1-07-new-world.mp3,964b14d9035a5410018709f37a048aecc7d62abab95a7ae212746eec42a12207,combined 3/1-07 New World.mp3,
1-10 Maul.mp3,1-10 Maul,music,assets/audio/admin/music/1-10-maul.mp3,70cb86311917cdbdba7cbe70be16bbf1b3408c6ce266db4a69602830a9ae3c54,combined 3/1-10 Maul.mp3,
creature_2_default.mp3,creature_2_default,sfx,assets/audio/admin/sfx/creature-2-default.mp3,7721738251123a9a85f20b423087bf109514f0eac23854d28e232b0e80140032,combined 3/creature_2_default.mp3,
Daniel Pemberton-Forest Clues.mp3,Daniel Pemberton-Forest Clues,ambience,assets/audio/admin/ambience/daniel-pemberton-forest-clues.mp3,aa11ae9d52cc6b6f673ac27efa113dc6f25028153359777d5be7593aa0e85a0b,combined 3/Daniel Pemberton-Forest Clues.mp3,
freesound_community-shit-dude-104663.mp3,freesound_community-shit-dude-104663,music,assets/audio/admin/music/freesound-community-shit-dude-104663.mp3,716b2c73d11ec8de40e97615d469de9f974433792a4436addfce0647095cea8b,combined 3/freesound_community-shit-dude-104663.mp3,
Frieren Beyond Journeys End OST Compilation To StudyRelax To.mp3,Frieren Beyond Journeys End OST Compilation To StudyRelax To,music,assets/audio/admin/music/frieren-beyond-journeys-end-ost-compilation-to-studyrelax-to.mp3,a60c28cc30ab9f4adf3e5fbe758579b8adefa8f8c608ab4911fbb5adc74cc0f9,combined 3/Frieren Beyond Journeys End OST Compilation To StudyRelax To.mp3,
Hollow Knight OST - Fungal Wastes.mp3,Hollow Knight OST - Fungal Wastes,ambience,assets/audio/admin/ambience/hollow-knight-ost-fungal-wastes.mp3,ba83bec0f73d36d110e7b87fa0477311e0878cc00da2f62ce9c6b880fa8dd60b,combined 3/Hollow Knight OST - Fungal Wastes.mp3,
